"team_id","country","games_played","games_won","draws","games_lost","yellow_cards","red_cards","goals","saves","attempts","fifa_ranking"
1,"Germany",5,3,1,1,14,0,11,11,94,13
2,"Switzerland",5,3,0,2,10,0,8,8,58,15
3,"Hungary",3,1,0,2,10,0,2,9,30,31
4,"Scotland",3,0,1,2,5,1,2,12,16,48
5,"Spain",7,7,0,0,16,1,15,18,123,3
6,"Italy",4,1,1,2,10,0,3,14,43,10
7,"Croatia",3,0,2,1,7,0,3,9,42,12
8,"Albania",3,0,1,2,7,0,3,9,33,66
9,"England",7,3,3,1,14,0,8,17,75,4
10,"Denmark",3,0,3,0,9,0,2,12,52,21
11,"Slovenia",3,0,4,0,11,1,2,14,35,52
12,"Serbia",3,0,2,1,9,0,1,8,26,32
13,"Austria",4,2,0,2,12,0,7,7,52,22
14,"France",6,2,3,1,9,0,4,16,98,2
15,"Poland",3,0,1,2,8,0,3,16,36,28
16,"Netherlands",6,3,1,2,11,0,10,18,80,7
17,"Romania",4,1,1,2,9,0,4,16,37,45
18,"Belgium",4,1,1,2,8,0,2,14,52,6
19,"Slovakia",4,1,1,2,8,0,4,12,50,44
20,"Ukraine",3,1,1,1,3,0,2,10,42,25
21,"Portugal",5,2,2,1,10,0,5,11,89,8
23,"Georgia",4,1,1,2,7,0,5,29,31,70
24,"Czechia",3,0,1,2,13,2,3,10,43,47
22,"Turkiye",5,3,0,2,20,1,8,16,71,26
