"team_id","team_name","coach_name","group_name","captain"
1,"Germany","Julius Nagelsmann","A","İlkay Gündoğan"
2,"Switzerland","Murat Yakin","A","Granit Xhaka"
3,"Hungary","Marco Rossi","A","Dominik Szoboszlai"
4,"Scotland","Steve Clarke","A","Andrew Robertson"
5,"Spain","Luis Fuente","B","Álvaro Morata"
6,"Italy","Luciano Spalleti","B","Gianluigi Donnarumma"
7,"Croatia","Zlatko_Dalic","B","Luka Modrić"
8,"Albania","Brazilian Sylvinho","B","Berat Djimsiti"
9,"England","Gareth Southgate","C","Harry Kane"
10,"Denmark","Kasper Hjulmand","C","Simon Kjær"
11,"Solvenia","Matjaz kek","C","Jan Oblak"
12,"Serbia","Dragan Stojkovic","C","Dušan Tadić"
13,"Austria","Ralf Rangnick","D","Marko Arnautović"
14,"France","Didier Deschamps","D","Kylian Mbappé"
15,"Poland","Michal Probierz","D","Robert Lewandowski"
16,"Netherlands","Ronald Koeman","D","Virgil van Dijk"
17,"Romania","Edward Lordanescu","E","Nicolae Stanciu"
18,"Belgium","Domenico Tedesco","E","Kevin De Bruyne"
19,"Solvakia","Francesco Calzona","E","Milan Škriniar"
20,"Ukraine","Sergiy Rebrov","E","Andriy Yarmolenko"
21,"Portugal","Roberto_Martinez","F","Cristiano Ronaldo"
22,"Turkiye","Vincenzo Montella","F","Hakan Çalhanoğlu"
23,"Georgia","Willy Sagnol","F","Guram Kashia"
24,"Czechia","Ivan Hasek","F","Tomáš Souček"
